ID,Predict,score_range,bad_probability,label
a00482,0,unknown,0.5,unknown
a00483,0,unknown,0.5,unknown
a00484,0,unknown,0.5,unknown
a00486,0,unknown,0.5,unknown
a00496,0,unknown,0.5,unknown
a00498,0,unknown,0.5,unknown
a00501,0,unknown,0.5,unknown
a00504,0,unknown,0.5,unknown
a00507,0,unknown,0.5,unknown
a00509,0,unknown,0.5,unknown
a00514,0,unknown,0.5,unknown
a00517,0,unknown,0.5,unknown
a00530,0,unknown,0.5,unknown
a00535,0,unknown,0.5,unknown
a00536,0,unknown,0.5,unknown
a00550,0,unknown,0.5,unknown
a00551,0,unknown,0.5,unknown
a00556,0,unknown,0.5,unknown
a00561,0,unknown,0.5,unknown
a00563,0,unknown,0.5,unknown
a00566,0,unknown,0.5,unknown
a00583,0,unknown,0.5,unknown
a00588,0,unknown,0.5,unknown
a00605,0,unknown,0.5,unknown
a00607,0,unknown,0.5,unknown
a00610,0,unknown,0.5,unknown
a00613,0,unknown,0.5,unknown
a00615,0,unknown,0.5,unknown
a00618,0,unknown,0.5,unknown
a00624,0,unknown,0.5,unknown
a00627,0,unknown,0.5,unknown
a00636,0,unknown,0.5,unknown
a00637,0,unknown,0.5,unknown
a00643,0,unknown,0.5,unknown
a00645,0,unknown,0.5,unknown
a00649,0,unknown,0.5,unknown
a00650,0,unknown,0.5,unknown
a00656,0,unknown,0.5,unknown
a00670,0,unknown,0.5,unknown
a00688,0,unknown,0.5,unknown
a00689,0,unknown,0.5,unknown
a00694,0,unknown,0.5,unknown
a00698,0,unknown,0.5,unknown
a00703,0,unknown,0.5,unknown
a00716,0,unknown,0.5,unknown
a00718,0,unknown,0.5,unknown
a00729,0,unknown,0.5,unknown
a00732,0,unknown,0.5,unknown
a00742,0,unknown,0.5,unknown
a00744,0,unknown,0.5,unknown
a00749,0,unknown,0.5,unknown
a00754,0,unknown,0.5,unknown
a00769,0,unknown,0.5,unknown
a00770,0,unknown,0.5,unknown
a00772,0,unknown,0.5,unknown
a00775,0,unknown,0.5,unknown
a00782,0,unknown,0.5,unknown
a00786,0,unknown,0.5,unknown
a00792,0,unknown,0.5,unknown
a00814,0,unknown,0.5,unknown
a00815,0,unknown,0.5,unknown
a00823,0,unknown,0.5,unknown
a00825,0,unknown,0.5,unknown
a00829,0,unknown,0.5,unknown
a00830,0,unknown,0.5,unknown
a00848,0,unknown,0.5,unknown
a00853,0,unknown,0.5,unknown
a00857,0,unknown,0.5,unknown
a00870,0,unknown,0.5,unknown
a00872,0,unknown,0.5,unknown
a00874,0,unknown,0.5,unknown
a00878,0,unknown,0.5,unknown
a00880,0,unknown,0.5,unknown
a00882,0,unknown,0.5,unknown
a00885,0,unknown,0.5,unknown
a00897,0,unknown,0.5,unknown
a00904,0,unknown,0.5,unknown
a00913,0,unknown,0.5,unknown
a00916,0,unknown,0.5,unknown
a00922,0,unknown,0.5,unknown
a00933,0,unknown,0.5,unknown
a00949,0,unknown,0.5,unknown
a00962,0,unknown,0.5,unknown
a00973,0,unknown,0.5,unknown
a00976,0,unknown,0.5,unknown
a00977,0,unknown,0.5,unknown
a00987,0,unknown,0.5,unknown
a00991,0,unknown,0.5,unknown
a00994,0,unknown,0.5,unknown
a00996,0,unknown,0.5,unknown
a00998,0,unknown,0.5,unknown
a01000,0,unknown,0.5,unknown
a01006,0,unknown,0.5,unknown
a01008,0,unknown,0.5,unknown
a01009,0,unknown,0.5,unknown
a01010,0,unknown,0.5,unknown
a01011,0,unknown,0.5,unknown
a01012,0,unknown,0.5,unknown
a01013,0,unknown,0.5,unknown
a01022,0,unknown,0.5,unknown
a01032,0,unknown,0.5,unknown
a01035,0,unknown,0.5,unknown
a01036,0,unknown,0.5,unknown
a01038,0,unknown,0.5,unknown
a01045,0,unknown,0.5,unknown
a01050,0,unknown,0.5,unknown
a01054,0,unknown,0.5,unknown
a01058,0,unknown,0.5,unknown
a01069,0,unknown,0.5,unknown
a01070,0,unknown,0.5,unknown
a01076,0,unknown,0.5,unknown
a01077,0,unknown,0.5,unknown
a01085,0,unknown,0.5,unknown
a01087,0,unknown,0.5,unknown
a01093,0,unknown,0.5,unknown
a01094,0,unknown,0.5,unknown
a01101,0,unknown,0.5,unknown
a01102,0,unknown,0.5,unknown
a01109,0,unknown,0.5,unknown
a01111,0,unknown,0.5,unknown
a01123,0,unknown,0.5,unknown
a01130,0,unknown,0.5,unknown
a01133,0,unknown,0.5,unknown
a01139,0,unknown,0.5,unknown
a01140,0,unknown,0.5,unknown
a01147,0,unknown,0.5,unknown
a01152,0,unknown,0.5,unknown
a01153,0,unknown,0.5,unknown
a01163,0,unknown,0.5,unknown
a01173,0,unknown,0.5,unknown
a01183,0,unknown,0.5,unknown
a01187,0,unknown,0.5,unknown
a01189,0,unknown,0.5,unknown
a01190,0,unknown,0.5,unknown
a01195,0,unknown,0.5,unknown
a01199,0,unknown,0.5,unknown
a01202,0,unknown,0.5,unknown
a01220,0,unknown,0.5,unknown
a01225,0,unknown,0.5,unknown
a01227,0,unknown,0.5,unknown
a01233,0,unknown,0.5,unknown
a01235,0,unknown,0.5,unknown
a01240,0,unknown,0.5,unknown
a01252,0,unknown,0.5,unknown
a01262,0,unknown,0.5,unknown
a01263,0,unknown,0.5,unknown
a01271,0,unknown,0.5,unknown
a01276,0,unknown,0.5,unknown
a01279,0,unknown,0.5,unknown
a01284,0,unknown,0.5,unknown
a01292,0,unknown,0.5,unknown
a01296,0,unknown,0.5,unknown
a01299,0,unknown,0.5,unknown
a01316,0,unknown,0.5,unknown
a01325,0,unknown,0.5,unknown
a01329,0,unknown,0.5,unknown
a01343,0,unknown,0.5,unknown
a01346,0,unknown,0.5,unknown
a01348,0,unknown,0.5,unknown
a01351,0,unknown,0.5,unknown
a01357,0,unknown,0.5,unknown
a01359,0,unknown,0.5,unknown
a01364,0,unknown,0.5,unknown
a01371,0,unknown,0.5,unknown
a01375,0,unknown,0.5,unknown
a01376,0,unknown,0.5,unknown
a01377,0,unknown,0.5,unknown
a01378,0,unknown,0.5,unknown
a01380,0,unknown,0.5,unknown
a01396,0,unknown,0.5,unknown
a01398,0,unknown,0.5,unknown
a01400,0,unknown,0.5,unknown
a01403,0,unknown,0.5,unknown
a01409,0,unknown,0.5,unknown
a01410,0,unknown,0.5,unknown
a01412,0,unknown,0.5,unknown
a01413,0,unknown,0.5,unknown
a01414,0,unknown,0.5,unknown
a01415,0,unknown,0.5,unknown
a01417,0,unknown,0.5,unknown
a01418,0,unknown,0.5,unknown
a01419,0,unknown,0.5,unknown
a01420,0,unknown,0.5,unknown
a01422,0,unknown,0.5,unknown
a01425,0,unknown,0.5,unknown
a01426,0,unknown,0.5,unknown
a01428,0,unknown,0.5,unknown
a01445,0,unknown,0.5,unknown
a01451,0,unknown,0.5,unknown
a01452,0,unknown,0.5,unknown
a01457,0,unknown,0.5,unknown
a01458,0,unknown,0.5,unknown
a01460,0,unknown,0.5,unknown
a01462,0,unknown,0.5,unknown
a01464,0,unknown,0.5,unknown
a01473,0,unknown,0.5,unknown
a01485,0,unknown,0.5,unknown
a01486,0,unknown,0.5,unknown
a01488,0,unknown,0.5,unknown
a01498,0,unknown,0.5,unknown
a01500,0,unknown,0.5,unknown
a01505,0,unknown,0.5,unknown
a01507,0,unknown,0.5,unknown
a01510,0,unknown,0.5,unknown
a01512,0,unknown,0.5,unknown
a01517,0,unknown,0.5,unknown
a01520,0,unknown,0.5,unknown
a01524,0,unknown,0.5,unknown
a01525,0,unknown,0.5,unknown
a01532,0,unknown,0.5,unknown
a01543,0,unknown,0.5,unknown
a01550,0,unknown,0.5,unknown
a01555,0,unknown,0.5,unknown
a01559,0,unknown,0.5,unknown
a01561,0,unknown,0.5,unknown
a01572,0,unknown,0.5,unknown
a01582,0,unknown,0.5,unknown
a01589,0,unknown,0.5,unknown
a01612,0,unknown,0.5,unknown
a01619,0,unknown,0.5,unknown
a01626,0,unknown,0.5,unknown
a01640,0,unknown,0.5,unknown
a01644,0,unknown,0.5,unknown
a01651,0,unknown,0.5,unknown
a01657,0,unknown,0.5,unknown
a01664,0,unknown,0.5,unknown
a01671,0,unknown,0.5,unknown
a01682,0,unknown,0.5,unknown
a01685,0,unknown,0.5,unknown
a01696,0,unknown,0.5,unknown
a01699,0,unknown,0.5,unknown
a01700,0,unknown,0.5,unknown
a01703,0,unknown,0.5,unknown
a01707,0,unknown,0.5,unknown
a01709,0,unknown,0.5,unknown
a01716,0,unknown,0.5,unknown
a01720,0,unknown,0.5,unknown
a01724,0,unknown,0.5,unknown
a01725,0,unknown,0.5,unknown
a01728,0,unknown,0.5,unknown
a01732,0,unknown,0.5,unknown
a01738,0,unknown,0.5,unknown
a01739,0,unknown,0.5,unknown
a01742,0,unknown,0.5,unknown
a01744,0,unknown,0.5,unknown
a01748,0,unknown,0.5,unknown
a01767,0,unknown,0.5,unknown
a01775,0,unknown,0.5,unknown
a01776,0,unknown,0.5,unknown
a01786,0,unknown,0.5,unknown
a01800,0,unknown,0.5,unknown
a01806,0,unknown,0.5,unknown
a01809,0,unknown,0.5,unknown
a01815,0,unknown,0.5,unknown
a01817,0,unknown,0.5,unknown
a01818,0,unknown,0.5,unknown
a01824,0,unknown,0.5,unknown
a01833,0,unknown,0.5,unknown
a01834,0,unknown,0.5,unknown
a01840,0,unknown,0.5,unknown
a01843,0,unknown,0.5,unknown
a01845,0,unknown,0.5,unknown
a01846,0,unknown,0.5,unknown
a01856,0,unknown,0.5,unknown
a01857,0,unknown,0.5,unknown
a01860,0,unknown,0.5,unknown
a01869,0,unknown,0.5,unknown
a01881,0,unknown,0.5,unknown
a01887,0,unknown,0.5,unknown
a01890,0,unknown,0.5,unknown
a01898,0,unknown,0.5,unknown
a01910,0,unknown,0.5,unknown
a01912,0,unknown,0.5,unknown
a01931,0,unknown,0.5,unknown
a01932,0,unknown,0.5,unknown
a01938,0,unknown,0.5,unknown
a01945,0,unknown,0.5,unknown
a01951,0,unknown,0.5,unknown
a01954,0,unknown,0.5,unknown
a01967,0,unknown,0.5,unknown
a01968,0,unknown,0.5,unknown
a01981,0,unknown,0.5,unknown
a01994,0,unknown,0.5,unknown
a01995,0,unknown,0.5,unknown
a02000,0,unknown,0.5,unknown
a02009,0,unknown,0.5,unknown
a02013,0,unknown,0.5,unknown
a02031,0,unknown,0.5,unknown
a02049,0,unknown,0.5,unknown
a02054,0,unknown,0.5,unknown
a02076,0,unknown,0.5,unknown
a02081,0,unknown,0.5,unknown
a02092,0,unknown,0.5,unknown
a02095,0,unknown,0.5,unknown
a02098,0,unknown,0.5,unknown
a02100,0,unknown,0.5,unknown
a02103,0,unknown,0.5,unknown
a02119,0,unknown,0.5,unknown
a02122,0,unknown,0.5,unknown
a02124,0,unknown,0.5,unknown
a02128,0,unknown,0.5,unknown
a02131,0,unknown,0.5,unknown
a02139,0,unknown,0.5,unknown
a02140,0,unknown,0.5,unknown
a02142,0,unknown,0.5,unknown
a02143,0,unknown,0.5,unknown
a02147,0,unknown,0.5,unknown
a02148,0,unknown,0.5,unknown
a02149,0,unknown,0.5,unknown
a02150,0,unknown,0.5,unknown
a02153,0,unknown,0.5,unknown
a02160,0,unknown,0.5,unknown
a02165,0,unknown,0.5,unknown
a02174,0,unknown,0.5,unknown
a02186,0,unknown,0.5,unknown
a02189,0,unknown,0.5,unknown
a02195,0,unknown,0.5,unknown
a02205,0,unknown,0.5,unknown
a02208,0,unknown,0.5,unknown
a02225,0,unknown,0.5,unknown
a02227,0,unknown,0.5,unknown
a02230,0,unknown,0.5,unknown
a02237,0,unknown,0.5,unknown
a02243,0,unknown,0.5,unknown
a02254,0,unknown,0.5,unknown
a02261,0,unknown,0.5,unknown
a02266,0,unknown,0.5,unknown
a02270,0,unknown,0.5,unknown
a02273,0,unknown,0.5,unknown
a02280,0,unknown,0.5,unknown
a02285,0,unknown,0.5,unknown
a02300,0,unknown,0.5,unknown
a02301,0,unknown,0.5,unknown
a02304,0,unknown,0.5,unknown
a02306,0,unknown,0.5,unknown
a02315,0,unknown,0.5,unknown
a02318,0,unknown,0.5,unknown
a02330,0,unknown,0.5,unknown
a02332,0,unknown,0.5,unknown
a02344,0,unknown,0.5,unknown
a02349,0,unknown,0.5,unknown
a02353,0,unknown,0.5,unknown
a02366,0,unknown,0.5,unknown
a02367,0,unknown,0.5,unknown
a02371,0,unknown,0.5,unknown
a02373,0,unknown,0.5,unknown
a02381,0,unknown,0.5,unknown
a02389,0,unknown,0.5,unknown
a02391,0,unknown,0.5,unknown
a02402,0,unknown,0.5,unknown
a02410,0,unknown,0.5,unknown
a02418,0,unknown,0.5,unknown
a02436,0,unknown,0.5,unknown
a02445,0,unknown,0.5,unknown
a02457,0,unknown,0.5,unknown
a02479,0,unknown,0.5,unknown
a02489,0,unknown,0.5,unknown
a02503,0,unknown,0.5,unknown
a02504,0,unknown,0.5,unknown
a02506,0,unknown,0.5,unknown
a02513,0,unknown,0.5,unknown
a02514,0,unknown,0.5,unknown
a02515,0,unknown,0.5,unknown
a02518,0,unknown,0.5,unknown
a02530,0,unknown,0.5,unknown
a02537,0,unknown,0.5,unknown
a02545,0,unknown,0.5,unknown
a02549,0,unknown,0.5,unknown
a02554,0,unknown,0.5,unknown
a02557,0,unknown,0.5,unknown
a02581,0,unknown,0.5,unknown
a02584,0,unknown,0.5,unknown
a02591,0,unknown,0.5,unknown
a02594,0,unknown,0.5,unknown
a02596,0,unknown,0.5,unknown
a02597,0,unknown,0.5,unknown
a02599,0,unknown,0.5,unknown
a02603,0,unknown,0.5,unknown
a02605,0,unknown,0.5,unknown
a02612,0,unknown,0.5,unknown
a02615,0,unknown,0.5,unknown
a02620,0,unknown,0.5,unknown
a02625,0,unknown,0.5,unknown
a02633,0,unknown,0.5,unknown
a02638,0,unknown,0.5,unknown
a02640,0,unknown,0.5,unknown
a02641,0,unknown,0.5,unknown
a02650,0,unknown,0.5,unknown
a02660,0,unknown,0.5,unknown
a02661,0,unknown,0.5,unknown
a02687,0,unknown,0.5,unknown
a02688,0,unknown,0.5,unknown
a02689,0,unknown,0.5,unknown
a02697,0,unknown,0.5,unknown
a02701,0,unknown,0.5,unknown
a02712,0,unknown,0.5,unknown
a02716,0,unknown,0.5,unknown
a02718,0,unknown,0.5,unknown
a02719,0,unknown,0.5,unknown
a02728,0,unknown,0.5,unknown
a02729,0,unknown,0.5,unknown
a02730,0,unknown,0.5,unknown
a02734,0,unknown,0.5,unknown
a02737,0,unknown,0.5,unknown
a02745,0,unknown,0.5,unknown
a02757,0,unknown,0.5,unknown
a02769,0,unknown,0.5,unknown
a02776,0,unknown,0.5,unknown
a02777,0,unknown,0.5,unknown
a02778,0,unknown,0.5,unknown
a02779,0,unknown,0.5,unknown
a02783,0,unknown,0.5,unknown
a02784,0,unknown,0.5,unknown
a02796,0,unknown,0.5,unknown
a02802,0,unknown,0.5,unknown
a02803,0,unknown,0.5,unknown
a02804,0,unknown,0.5,unknown
a02805,0,unknown,0.5,unknown
a02814,0,unknown,0.5,unknown
a02815,0,unknown,0.5,unknown
a02817,0,unknown,0.5,unknown
a02824,0,unknown,0.5,unknown
a02830,0,unknown,0.5,unknown
a02831,0,unknown,0.5,unknown
a02834,0,unknown,0.5,unknown
a02836,0,unknown,0.5,unknown
a02839,0,unknown,0.5,unknown
a02840,0,unknown,0.5,unknown
a02841,0,unknown,0.5,unknown
a02842,0,unknown,0.5,unknown
a02846,0,unknown,0.5,unknown
a02848,0,unknown,0.5,unknown
a02851,0,unknown,0.5,unknown
a02856,0,unknown,0.5,unknown
a02863,0,unknown,0.5,unknown
a02871,0,unknown,0.5,unknown
a02873,0,unknown,0.5,unknown
a02874,0,unknown,0.5,unknown
a02878,0,unknown,0.5,unknown
a02881,0,unknown,0.5,unknown
a02883,0,unknown,0.5,unknown
a02885,0,unknown,0.5,unknown
a02889,0,unknown,0.5,unknown
a02894,0,unknown,0.5,unknown
a02896,0,unknown,0.5,unknown
a02900,0,unknown,0.5,unknown
a02902,0,unknown,0.5,unknown
a02903,0,unknown,0.5,unknown
a02909,0,unknown,0.5,unknown
a02915,0,unknown,0.5,unknown
a02916,0,unknown,0.5,unknown
a02917,0,unknown,0.5,unknown
a02920,0,unknown,0.5,unknown
a02933,0,unknown,0.5,unknown
a02936,0,unknown,0.5,unknown
a02948,0,unknown,0.5,unknown
a02949,0,unknown,0.5,unknown
a02957,0,unknown,0.5,unknown
a02965,0,unknown,0.5,unknown
a03011,0,unknown,0.5,unknown
a03017,0,unknown,0.5,unknown
a03029,0,unknown,0.5,unknown
a03031,0,unknown,0.5,unknown
a03033,0,unknown,0.5,unknown
a03041,0,unknown,0.5,unknown
a03044,0,unknown,0.5,unknown
a03047,0,unknown,0.5,unknown
a03049,0,unknown,0.5,unknown
a03051,0,unknown,0.5,unknown
a03053,0,unknown,0.5,unknown
a03058,0,unknown,0.5,unknown
a03063,0,unknown,0.5,unknown
a03064,0,unknown,0.5,unknown
a03068,0,unknown,0.5,unknown
a03073,0,unknown,0.5,unknown
a03074,0,unknown,0.5,unknown
a03078,0,unknown,0.5,unknown
a03079,0,unknown,0.5,unknown
a03084,0,unknown,0.5,unknown
a03094,0,unknown,0.5,unknown
a03095,0,unknown,0.5,unknown
a03105,0,unknown,0.5,unknown
a03106,0,unknown,0.5,unknown
a03120,0,unknown,0.5,unknown
a03121,0,unknown,0.5,unknown
a03133,0,unknown,0.5,unknown
a03136,0,unknown,0.5,unknown
a03138,0,unknown,0.5,unknown
a03144,0,unknown,0.5,unknown
a03146,0,unknown,0.5,unknown
a03156,0,unknown,0.5,unknown
a03167,0,unknown,0.5,unknown
a03178,0,unknown,0.5,unknown
a03190,0,unknown,0.5,unknown
a03197,0,unknown,0.5,unknown
a03200,0,unknown,0.5,unknown
a03203,0,unknown,0.5,unknown
a03205,0,unknown,0.5,unknown
a03211,0,unknown,0.5,unknown
a03212,0,unknown,0.5,unknown
a03222,0,unknown,0.5,unknown
a03225,0,unknown,0.5,unknown
a03228,0,unknown,0.5,unknown
a03230,0,unknown,0.5,unknown
a03232,0,unknown,0.5,unknown
a03234,0,unknown,0.5,unknown
a03235,0,unknown,0.5,unknown
a03239,0,unknown,0.5,unknown
a03241,0,unknown,0.5,unknown
a03242,0,unknown,0.5,unknown
a03250,0,unknown,0.5,unknown
a03253,0,unknown,0.5,unknown
a03256,0,unknown,0.5,unknown
a03257,0,unknown,0.5,unknown
a03259,0,unknown,0.5,unknown
a03267,0,unknown,0.5,unknown
a03270,0,unknown,0.5,unknown
a03271,0,unknown,0.5,unknown
a03284,0,unknown,0.5,unknown
a03292,0,unknown,0.5,unknown
a03298,0,unknown,0.5,unknown
a03302,0,unknown,0.5,unknown
a03306,0,unknown,0.5,unknown
a03313,0,unknown,0.5,unknown
a03314,0,unknown,0.5,unknown
a03334,0,unknown,0.5,unknown
a03339,0,unknown,0.5,unknown
a03346,0,unknown,0.5,unknown
a03357,0,unknown,0.5,unknown
a03367,0,unknown,0.5,unknown
a03369,0,unknown,0.5,unknown
a03378,0,unknown,0.5,unknown
a03388,0,unknown,0.5,unknown
a03389,0,unknown,0.5,unknown
a03396,0,unknown,0.5,unknown
a03399,0,unknown,0.5,unknown
a03406,0,unknown,0.5,unknown
a03408,0,unknown,0.5,unknown
a03412,0,unknown,0.5,unknown
a03413,0,unknown,0.5,unknown
a03415,0,unknown,0.5,unknown
a03418,0,unknown,0.5,unknown
a03419,0,unknown,0.5,unknown
a03428,0,unknown,0.5,unknown
a03430,0,unknown,0.5,unknown
a03431,0,unknown,0.5,unknown
a03433,0,unknown,0.5,unknown
a03448,0,unknown,0.5,unknown
a03456,0,unknown,0.5,unknown
a03458,0,unknown,0.5,unknown
a03467,0,unknown,0.5,unknown
a03468,0,unknown,0.5,unknown
a03469,0,unknown,0.5,unknown
a03472,0,unknown,0.5,unknown
a03474,0,unknown,0.5,unknown
a03478,0,unknown,0.5,unknown
a03485,0,unknown,0.5,unknown
a03491,0,unknown,0.5,unknown
a03499,0,unknown,0.5,unknown
a03503,0,unknown,0.5,unknown
a03504,0,unknown,0.5,unknown
a03509,0,unknown,0.5,unknown
a03513,0,unknown,0.5,unknown
a03531,0,unknown,0.5,unknown
a03540,0,unknown,0.5,unknown
a03541,0,unknown,0.5,unknown
a03542,0,unknown,0.5,unknown
a03544,0,unknown,0.5,unknown
a03547,0,unknown,0.5,unknown
a03550,0,unknown,0.5,unknown
a03562,0,unknown,0.5,unknown
a03565,0,unknown,0.5,unknown
a03566,0,unknown,0.5,unknown
a03570,0,unknown,0.5,unknown
a03573,0,unknown,0.5,unknown
a03580,0,unknown,0.5,unknown
a03594,0,unknown,0.5,unknown
a03595,0,unknown,0.5,unknown
a03598,0,unknown,0.5,unknown
a03600,0,unknown,0.5,unknown
a03604,0,unknown,0.5,unknown
a03605,0,unknown,0.5,unknown
a03615,0,unknown,0.5,unknown
a03619,0,unknown,0.5,unknown
a03625,0,unknown,0.5,unknown
a03627,0,unknown,0.5,unknown
a03629,0,unknown,0.5,unknown
a03643,0,unknown,0.5,unknown
a03648,0,unknown,0.5,unknown
a03651,0,unknown,0.5,unknown
a03652,0,unknown,0.5,unknown
a03654,0,unknown,0.5,unknown
a03656,0,unknown,0.5,unknown
a03660,0,unknown,0.5,unknown
a03669,0,unknown,0.5,unknown
a03672,0,unknown,0.5,unknown
a03683,0,unknown,0.5,unknown
a03688,0,unknown,0.5,unknown
a03717,0,unknown,0.5,unknown
a03724,0,unknown,0.5,unknown
a03726,0,unknown,0.5,unknown
a03734,0,unknown,0.5,unknown
a03739,0,unknown,0.5,unknown
a03745,0,unknown,0.5,unknown
a03746,0,unknown,0.5,unknown
a03756,0,unknown,0.5,unknown
a03773,0,unknown,0.5,unknown
a03782,0,unknown,0.5,unknown
a03783,0,unknown,0.5,unknown
a03787,0,unknown,0.5,unknown
a03788,0,unknown,0.5,unknown
a03791,0,unknown,0.5,unknown
a03796,0,unknown,0.5,unknown
a03798,0,unknown,0.5,unknown
a03803,0,unknown,0.5,unknown
a03805,0,unknown,0.5,unknown
a03806,0,unknown,0.5,unknown
a03819,0,unknown,0.5,unknown
a03828,0,unknown,0.5,unknown
a03838,0,unknown,0.5,unknown
a03849,0,unknown,0.5,unknown
a03850,0,unknown,0.5,unknown
a03853,0,unknown,0.5,unknown
a03855,0,unknown,0.5,unknown
a03857,0,unknown,0.5,unknown
a03859,0,unknown,0.5,unknown
a03861,0,unknown,0.5,unknown
a03862,0,unknown,0.5,unknown
a03866,0,unknown,0.5,unknown
a03873,0,unknown,0.5,unknown
a03874,0,unknown,0.5,unknown
a03877,0,unknown,0.5,unknown
a03879,0,unknown,0.5,unknown
a03888,0,unknown,0.5,unknown
a03890,0,unknown,0.5,unknown
a03900,0,unknown,0.5,unknown
a03901,0,unknown,0.5,unknown
a03904,0,unknown,0.5,unknown
a03908,0,unknown,0.5,unknown
a03911,0,unknown,0.5,unknown
a03915,0,unknown,0.5,unknown
a03918,0,unknown,0.5,unknown
a03920,0,unknown,0.5,unknown
a03922,0,unknown,0.5,unknown
a03923,0,unknown,0.5,unknown
a03933,0,unknown,0.5,unknown
a03939,0,unknown,0.5,unknown
a03951,0,unknown,0.5,unknown
a03962,0,unknown,0.5,unknown
a03966,0,unknown,0.5,unknown
a03967,0,unknown,0.5,unknown
a03978,0,unknown,0.5,unknown
a03980,0,unknown,0.5,unknown
a03983,0,unknown,0.5,unknown
a03986,0,unknown,0.5,unknown
a03987,0,unknown,0.5,unknown
a03999,0,unknown,0.5,unknown
a04003,0,unknown,0.5,unknown
a04004,0,unknown,0.5,unknown
a04007,0,unknown,0.5,unknown
a04013,0,unknown,0.5,unknown
a04021,0,unknown,0.5,unknown
a04027,0,unknown,0.5,unknown
a04030,0,unknown,0.5,unknown
a04035,0,unknown,0.5,unknown
a04053,0,unknown,0.5,unknown
a04058,0,unknown,0.5,unknown
a04086,0,unknown,0.5,unknown
a04096,0,unknown,0.5,unknown
a04102,0,unknown,0.5,unknown
a04103,0,unknown,0.5,unknown
a04108,0,unknown,0.5,unknown
a04109,0,unknown,0.5,unknown
a04112,0,unknown,0.5,unknown
a04132,0,unknown,0.5,unknown
a04141,0,unknown,0.5,unknown
a04151,0,unknown,0.5,unknown
a04152,0,unknown,0.5,unknown
a04170,0,unknown,0.5,unknown
a04171,0,unknown,0.5,unknown
a04174,0,unknown,0.5,unknown
a04176,0,unknown,0.5,unknown
a04178,0,unknown,0.5,unknown
a04180,0,unknown,0.5,unknown
a04181,0,unknown,0.5,unknown
