account,interaction_category
a21870,A_in_B_in_B_out
a18913,B_in_B_out
a06371,B_in_B_out
a08224,A_in_A_out_B_in_B_out
a25862,B_in_B_out
a04813,A_in_B_in_B_out
a30670,A_in_B_in_B_out
a22636,B_in_B_out
a07615,A_in_A_out_B_in_B_out
a09454,B_in_B_out
a09550,B_in_B_out
a01206,A_in_B_in_B_out
a11093,A_in_B_in_B_out
a29120,A_in_B_in_B_out
a06694,A_in_B_in_B_out
a30753,B_in_B_out
a08782,B_in_B_out
a07554,A_in_A_out_B_in_B_out
a03168,B_in_B_out
a06969,A_out_B_out
a00548,B_in_B_out
a22098,A_out_B_in_B_out
a01407,A_out_B_in_B_out
a19254,B_in_B_out
a12774,A_in_B_in_B_out
a22428,B_in_B_out
a23479,A_in_B_in_B_out
a02114,B_in_B_out
a23227,B_in_B_out
a07653,B_in_B_out
a28415,B_in_B_out
a28823,A_in_A_out_B_in_B_out
a00481,A_in_A_out_B_in_B_out
a09302,A_in_B_in_B_out
a23529,B_in_B_out
a26487,B_in_B_out
a17572,B_in_B_out
a08990,A_in_A_out_B_in_B_out
a28785,B_in_B_out
a14955,A_out_B_in_B_out
a07407,A_in_B_in_B_out
a12674,B_in
a29931,A_in_B_in_B_out
a28685,A_in_A_out_B_in_B_out
a17622,A_in_A_out_B_in_B_out
a29595,B_in
a08700,A_out_B_in_B_out
a11208,A_in_B_in_B_out
a31337,A_in_B_in
a25735,B_in
a23498,A_out_B_out
a27060,B_in_B_out
a10484,A_out_B_in_B_out
a04471,A_in_B_in_B_out
a05904,A_in_A_out_B_in_B_out
a21722,B_in_B_out
a19256,B_in_B_out
a14039,A_in_A_out_B_in_B_out
a06210,A_out_B_in_B_out
a00832,B_in_B_out
a24380,A_in_B_in_B_out
a31256,B_in_B_out
a05726,B_in_B_out
a13356,B_in_B_out
a05773,B_in_B_out
a23810,B_in_B_out
a09728,A_out_B_in_B_out
a19242,B_in
a04492,B_in_B_out
a12622,B_in_B_out
a15865,B_in
a17176,B_in_B_out
a14982,A_in_B_in
a05678,A_in_A_out_B_in_B_out
a15153,B_in_B_out
a03962,B_in_B_out
a07374,B_in_B_out
a13246,B_in_B_out
a02916,B_in_B_out
a19517,A_in_B_in_B_out
a29262,B_in_B_out
a19148,A_in_B_in_B_out
a05420,A_in_A_out_B_in_B_out
a29727,A_in_B_in_B_out
a13249,A_in_B_in_B_out
a17310,B_in_B_out
a06893,B_in_B_out
a16083,B_in_B_out
a20133,B_in
a17772,A_in_B_in_B_out
a21862,A_in_A_out_B_in_B_out
a06846,B_in_B_out
a27504,A_in_A_out_B_in_B_out
a01033,A_in_B_in_B_out
a21821,A_in_A_out_B_in_B_out
a14331,B_in_B_out
a05890,A_in_A_out_B_in_B_out
a26873,B_in_B_out
a08963,A_in_B_in_B_out
a24207,A_out_B_in_B_out
a02232,B_in_B_out
a14938,A_out_B_in_B_out
a11122,A_in_B_in_B_out
a07599,A_in_B_in_B_out
a18785,B_in_B_out
a28942,A_in_B_in_B_out
a00607,B_in_B_out
a29890,B_in
a21589,A_in_B_in_B_out
a28976,B_out
a10270,B_in_B_out
a28752,B_in_B_out
a04561,B_in_B_out
a22265,B_in
a20756,B_in_B_out
a06301,A_in_B_in_B_out
a13882,B_in_B_out
a08564,A_out_B_in_B_out
a12136,A_in_A_out_B_in_B_out
a08319,A_in_B_in_B_out
a13887,A_in_A_out_B_in_B_out
a24953,B_in_B_out
a24893,A_in_B_in
a01099,A_in_B_in_B_out
a18264,B_in_B_out
a03128,A_out_B_in_B_out
a19674,A_in_A_out_B_in_B_out
a02336,B_in_B_out
a21934,A_out_B_in_B_out
a17699,B_in_B_out
a16693,B_in_B_out
a29110,B_in_B_out
a06032,A_in_B_in_B_out
a16282,B_in_B_out
a27874,B_in_B_out
a13596,A_out_B_in_B_out
a02277,A_in_B_in_B_out
a13231,A_in_A_out_B_in_B_out
a30413,B_in_B_out
a00621,B_in_B_out
a03424,A_in_B_in
a12433,A_in_A_out_B_in_B_out
a24512,A_in_B_in_B_out
a22625,A_in_B_in_B_out
a01907,B_in_B_out
a05877,B_in_B_out
a12263,B_in_B_out
a18102,B_in_B_out
a29074,B_in_B_out
a12683,A_out_B_in_B_out
a24228,A_in_B_in
a19077,A_in_A_out_B_in_B_out
a11110,A_in_A_out_B_in_B_out
a14071,B_in_B_out
a01891,A_in_A_out_B_in_B_out
a11116,B_in_B_out
a13875,A_in_A_out_B_in_B_out
a00486,B_in_B_out
a08959,A_in_A_out_B_in_B_out
a17741,A_in_B_in_B_out
a29514,B_in_B_out
a21157,B_in
a20259,B_in_B_out
a27236,B_in
a25021,B_in
a31065,B_in_B_out
a00625,A_out_B_in_B_out
a07541,A_in_B_in
a29380,B_in_B_out
a30430,A_in_B_in_B_out
a06817,A_in_A_out_B_in_B_out
a17336,A_in_A_out_B_in_B_out
a29018,A_out_B_in_B_out
a08850,A_in_A_out_B_in_B_out
a15923,A_in_B_in_B_out
a17763,B_in_B_out
a11484,A_in_A_out_B_out
a07639,A_in_B_in_B_out
a31312,A_in_A_out_B_in_B_out
a16307,A_in_A_out_B_in_B_out
a16398,B_out
a10679,B_in_B_out
a19661,B_in
a12323,B_in_B_out
a18046,B_in_B_out
a12966,B_in_B_out
a26139,B_in_B_out
a06363,B_in_B_out
a01316,A_in_A_out_B_in_B_out
a16723,B_in_B_out
a17666,A_out_B_in
a17252,B_in_B_out
a11933,B_in
a23559,A_out_B_in_B_out
a23908,A_in_B_in_B_out
a26314,B_in_B_out
a13675,A_out_B_in_B_out
a09442,B_in_B_out
a10757,A_in_A_out_B_in_B_out
a00981,B_in_B_out
a02842,B_in_B_out
a02351,A_out_B_in_B_out
a15630,B_in_B_out
a14800,B_in_B_out
a20931,A_out_B_in_B_out
a30119,A_in_A_out_B_in_B_out
a04863,B_in
a22483,B_in_B_out
a01208,A_in_A_out_B_in_B_out
a20269,B_in_B_out
a30913,A_in_B_in_B_out
a14025,A_out_B_in_B_out
a22180,A_in_A_out_B_in_B_out
a20600,A_in_B_in_B_out
a10486,B_in_B_out
a23995,A_in_B_in_B_out
a02591,B_in_B_out
a08061,A_in_B_in_B_out
a17950,A_in_A_out_B_in_B_out
a25802,B_in_B_out
a06283,A_in_A_out_B_in_B_out
a18628,B_out
a15676,A_in_B_in_B_out
a23200,B_in_B_out
a16189,A_out_B_in_B_out
a13715,B_in_B_out
a16224,A_in_B_in_B_out
a08878,B_in_B_out
a02693,A_in_B_in_B_out
a18661,B_in_B_out
a27432,A_in_A_out_B_in_B_out
a24951,B_in_B_out
a23091,A_in_A_out_B_in_B_out
a21462,B_in_B_out
a06712,B_in
a13078,B_in_B_out
a05891,A_in_A_out_B_in_B_out
a14395,A_in_B_in_B_out
a20794,B_in_B_out
a14931,B_in_B_out
a30752,A_in_A_out_B_in_B_out
a21316,A_in_B_in_B_out
a20263,B_in_B_out
a26523,A_in_B_in_B_out
a15729,B_in_B_out
a22132,A_out_B_in_B_out
a21074,B_in
a19198,A_in_B_in_B_out
a30836,A_in_A_out_B_in_B_out
a21332,A_in_A_out_B_in_B_out
a03051,A_out_B_in_B_out
a22233,A_in_B_in_B_out
a31309,A_in_A_out_B_in_B_out
a25440,A_in_B_in_B_out
a29450,A_in_B_in_B_out
a27362,A_in_B_in_B_out
a18524,A_in_B_in_B_out
a04738,A_out_B_in_B_out
a04847,A_in_A_out_B_in_B_out
a18574,B_in_B_out
a25457,B_in_B_out
a27966,A_in_B_in_B_out
a22692,A_in_B_in_B_out
a23739,B_in_B_out
a19183,B_in_B_out
a01457,B_in_B_out
a02683,A_in_A_out_B_in_B_out
a08087,B_in_B_out
a27538,A_out_B_in_B_out
a10770,B_out
a27770,B_in_B_out
a19593,A_out_B_in_B_out
a12977,B_out
a06396,B_out
a22794,B_in_B_out
a29550,A_in_A_out_B_in_B_out
a21706,A_in_A_out_B_in_B_out
a15361,B_in_B_out
a13128,A_in_B_in_B_out
a05052,A_in_B_in_B_out
a11297,B_in_B_out
a18175,B_in_B_out
a22444,A_in_A_out_B_in_B_out
a21426,A_in_B_in_B_out
a14337,A_in_B_in
a15233,A_in_A_out_B_in_B_out
a30590,B_in_B_out
a13808,B_in_B_out
a29375,A_in_B_in_B_out
a01685,A_in_A_out_B_in_B_out
a01793,B_in_B_out
a04996,A_in_A_out_B_in_B_out
a01275,B_in_B_out
a24204,B_in_B_out
a00913,A_in_A_out_B_in_B_out
a08461,A_in_B_in_B_out
a02323,A_in_A_out_B_in_B_out
a15328,A_in_A_out_B_in_B_out
a11118,B_in_B_out
a28792,B_in_B_out
a17294,A_in_B_in_B_out
a04049,B_in_B_out
a26253,B_in
a27687,A_in_B_in_B_out
a23579,B_in_B_out
a07594,A_in_B_in_B_out
a21526,A_in_B_in_B_out
a13595,B_in
a05573,B_in_B_out
a11449,B_in_B_out
a28581,A_in_B_in_B_out
a18626,A_out_B_in_B_out
a17779,B_in
a17084,A_in_B_in
a03983,B_in_B_out
a30904,A_in_A_out_B_in_B_out
a26779,B_in_B_out
a30261,A_out_B_in_B_out
a27851,A_in_B_in_B_out
a13423,A_in_B_in_B_out
a24477,A_in_B_in_B_out
a27455,A_in_B_in_B_out
a09297,B_in_B_out
a26926,A_in_B_in_B_out
a05423,A_in_A_out_B_in_B_out
a07827,A_out_B_in_B_out
a01612,A_out_B_in_B_out
a25364,A_in_B_in_B_out
a19234,B_in_B_out
a23223,A_in_B_in_B_out
a30332,B_in_B_out
a17490,A_in_B_in_B_out
a19087,B_in_B_out
a05666,B_in_B_out
a00678,A_in_B_in_B_out
a03290,B_in_B_out
a22403,A_out_B_in_B_out
a31178,A_in_B_in_B_out
a15053,B_in_B_out
a05193,A_in_A_out_B_in_B_out
a16257,A_out_B_in_B_out
a10339,A_in_B_in_B_out
a24970,B_in_B_out
a11711,B_in_B_out
a22036,B_out
a14221,A_in_B_in_B_out
a12375,B_in_B_out
a16820,B_in_B_out
a00868,B_out
a15003,B_in_B_out
a07226,B_in_B_out
a07236,A_in_A_out_B_in_B_out
a23262,A_out_B_in_B_out
a30605,A_in_A_out_B_in_B_out
a03794,B_in_B_out
a00603,A_in_A_out_B_in_B_out
a02789,B_in_B_out
a21833,A_in_A_out_B_in_B_out
a02132,A_out_B_in_B_out
a14754,A_in_B_in_B_out
a30709,B_in_B_out
a30905,B_in
a27403,A_in_A_out_B_in_B_out
a15441,B_in_B_out
a01747,B_in
a23071,B_in_B_out
a23268,A_in_B_in_B_out
a18083,A_in_A_out_B_in_B_out
a02606,A_in_A_out_B_in_B_out
a04769,A_in_B_in_B_out
a29858,A_out_B_in_B_out
a18484,A_in_B_in_B_out
a30291,B_in_B_out
a09384,A_out_B_in_B_out
a00610,B_in_B_out
a23943,A_in_A_out_B_in_B_out
a25725,B_in_B_out
a07937,A_in_B_in_B_out
a22333,A_in_A_out_B_in_B_out
a10040,A_in_B_in_B_out
a25446,A_in_B_in_B_out
a09852,A_in_A_out_B_in_B_out
a24747,B_in_B_out
a15309,B_in_B_out
a17043,B_in
a03117,A_in_B_in_B_out
a05294,A_out_B_in_B_out
a10638,B_in_B_out
a09675,A_in_B_in_B_out
a17928,A_in_B_in_B_out
a16306,A_in_B_in
a07603,B_in
a02010,B_in_B_out
a07844,A_in_B_in_B_out
a31134,B_in_B_out
a07276,B_in_B_out
a16523,B_in_B_out
a13732,A_in_A_out_B_in_B_out
a22402,A_in_A_out_B_in_B_out
a24340,A_out_B_in_B_out
a14694,B_out
a00191,B_in
a28224,A_out_B_in_B_out
a13204,A_in_A_out_B_in_B_out
a03415,A_in_B_in_B_out
a03040,A_in_A_out_B_in_B_out
a25770,A_in_B_in_B_out
a30669,A_in_B_in
a28843,B_in
a03227,B_in_B_out
a15494,B_in_B_out
a14925,A_in_B_in_B_out
a28116,A_in_B_in
a00671,A_in_A_out_B_in_B_out
a23442,B_in_B_out
a26386,A_in_B_in_B_out
a11779,B_in_B_out
a00300,A_out_B_in_B_out
a23852,A_in_B_in_B_out
a29401,A_in_A_out_B_in_B_out
a15207,A_in_B_in_B_out
a14079,A_in_A_out_B_in_B_out
a12411,B_in_B_out
a18507,A_in_B_in
a24186,A_in_A_out_B_in_B_out
a22000,A_in_A_out_B_in_B_out
a06602,B_in_B_out
a27787,B_in_B_out
a15848,B_in_B_out
a04334,B_in_B_out
a14069,B_in_B_out
a25593,B_in_B_out
a31383,B_in_B_out
a26537,A_in_B_in_B_out
a20394,A_in_A_out_B_in_B_out
a18811,A_out_B_in_B_out
a17976,A_in_B_in_B_out
a15139,A_in_A_out_B_in_B_out
a24728,A_in_B_in_B_out
a29183,A_in_B_in_B_out
a01773,B_in_B_out
a09566,B_in_B_out
a13762,B_in_B_out
a09935,A_in_B_in_B_out
a17471,B_in_B_out
a24978,A_in_B_in_B_out
a11598,B_in_B_out
a14118,B_in_B_out
a00769,A_in_B_in_B_out
a28320,B_in_B_out
a29216,A_in_B_in_B_out
a09983,B_in_B_out
a25444,A_in_A_out_B_in_B_out
a15706,B_in
a13205,A_out_B_in_B_out
a23108,A_out_B_in_B_out
a15073,B_in_B_out
a30860,A_in_A_out_B_in_B_out
a30736,A_in_B_in
a00531,A_in_B_in_B_out
a08905,A_out_B_in_B_out
a17538,A_out_B_in_B_out
a13502,B_in_B_out
a22832,A_in_A_out_B_in_B_out
a03455,A_in_A_out_B_in_B_out
a23306,B_in_B_out
a08002,A_in_B_in_B_out
a31494,B_in_B_out
a00865,B_in_B_out
a05218,B_in_B_out
a16547,A_in_B_in_B_out
a02025,B_in_B_out
a30770,A_out_B_in_B_out
a14104,A_in_A_out_B_in_B_out
a05339,A_in_B_in_B_out
a20554,A_in_A_out_B_in_B_out
a05225,B_in_B_out
a30776,B_in_B_out
a01216,A_in_B_in_B_out
a05011,A_in_A_out_B_in_B_out
a09167,A_in_A_out_B_in_B_out
a05966,A_in_B_in_B_out
a11866,B_in_B_out
a20662,A_in_B_in_B_out
a21025,A_out_B_in_B_out
a13553,A_in_A_out_B_in_B_out
a13783,B_in_B_out
a05005,A_out_B_out
a26944,A_in_A_out_B_in_B_out
a28722,A_out_B_in_B_out
a07261,A_in_A_out_B_in_B_out
a14409,B_in_B_out
a23493,B_in_B_out
a28635,B_in_B_out
a22582,B_in_B_out
a22348,B_in
a20161,B_in_B_out
a14715,A_in_A_out_B_in_B_out
a02367,B_in_B_out
a09386,B_in_B_out
a03789,A_in_B_in
a22240,A_in_B_in_B_out
a00367,A_in_A_out_B_in_B_out
a17560,A_in_A_out_B_in_B_out
a24467,B_in_B_out
a16367,B_in_B_out
a26797,B_in_B_out
a25322,A_out_B_in_B_out
a27437,B_in
a28120,A_out_B_in_B_out
a28706,B_in_B_out
a04861,A_in_B_in
a16781,A_in_A_out_B_in_B_out
a14520,B_in_B_out
a29558,A_in_A_out_B_in_B_out
a14314,A_in_B_in_B_out
a27497,B_in_B_out
a12988,B_out
a01218,B_in_B_out
a21817,B_in_B_out
a19301,B_in_B_out
a05867,B_in_B_out
a22741,A_in_A_out_B_in_B_out
a25319,A_in_A_out_B_in_B_out
a15135,B_in_B_out
a05969,A_out_B_in_B_out
a24713,B_in
a01935,B_in_B_out
a05306,B_in_B_out
a08229,A_in_A_out_B_in_B_out
a05433,B_in_B_out
a17092,A_in_A_out_B_in_B_out
a23746,B_in_B_out
a24992,A_out_B_in_B_out
a30329,A_in_B_in
a16964,B_in_B_out
a28923,A_out_B_in_B_out
a01501,B_in_B_out
a10480,A_in_A_out_B_in_B_out
a19522,A_in_B_in_B_out
a06269,B_in_B_out
a12945,A_in_A_out_B_in_B_out
a01267,A_out_B_in_B_out
a12673,A_in_A_out_B_in_B_out
a11873,A_in_B_in_B_out
a31054,B_in_B_out
a29135,B_in_B_out
a13430,A_in_A_out_B_in_B_out
a00215,B_in_B_out
a25659,B_in_B_out
a30304,A_out_B_in_B_out
a14548,B_in_B_out
a30783,B_in_B_out
a08157,B_in_B_out
a17255,A_in_B_in_B_out
a11994,A_in_B_in_B_out
a13283,A_in_B_in_B_out
a12025,A_in_B_in_B_out
a14799,B_in_B_out
a28047,A_out_B_in_B_out
a04379,A_in_B_in_B_out
a13438,A_in_B_in_B_out
a22024,B_in_B_out
a23508,A_out_B_in_B_out
a09708,A_in_B_in_B_out
a28054,B_in_B_out
a30889,A_in_B_in_B_out
a15808,B_in_B_out
a14756,B_in_B_out
a21652,B_in_B_out
a24861,A_in_A_out_B_in_B_out
a26383,A_in_B_in_B_out
a01290,B_in_B_out
a08759,A_out_B_in_B_out
a14699,B_in_B_out
a16316,A_in_B_in_B_out
a15814,B_in_B_out
a30500,A_out_B_in_B_out
a30602,A_in_B_in_B_out
a23681,A_in_B_in_B_out
a13477,B_in_B_out
a18596,A_in_B_in_B_out
a27575,B_in_B_out
a15934,A_in_B_in_B_out
a00969,B_in_B_out
a11835,B_in_B_out
a10363,A_in_A_out_B_in_B_out
a10123,B_in_B_out
a22458,B_in_B_out
a03622,B_in_B_out
a21300,A_out_B_in_B_out
a14387,A_in_A_out_B_in_B_out
a09087,B_in_B_out
a22977,A_in_B_in_B_out
a27264,A_in_B_in_B_out
a30249,B_out
a05930,B_in_B_out
a30161,B_in_B_out
a31074,B_in_B_out
a30959,B_in_B_out
a17239,A_in_A_out_B_in_B_out
a01767,B_in
a15751,B_out
a04797,A_in_B_in_B_out
a17542,B_in_B_out
a00810,A_in_B_in_B_out
a17695,B_out
a26328,B_out
a07327,A_in_B_in_B_out
a30668,A_in_B_in_B_out
a02488,B_in
a22637,A_out_B_in_B_out
a05002,A_in_B_in_B_out
a12241,A_out_B_in_B_out
a11070,B_in_B_out
a27606,B_out
a04707,A_in_A_out_B_in
a17218,A_in_A_out_B_in_B_out
a02722,A_in_B_in
a24429,B_in
a11232,B_in_B_out
a15147,A_in_B_in_B_out
a00931,A_in_B_in_B_out
a12429,A_out_B_in_B_out
a03162,A_in_A_out_B_in_B_out
a17798,B_in
a00891,A_in_B_in_B_out
a29789,B_out
a02985,A_out_B_in_B_out
a21258,A_in_B_in_B_out
a13561,B_in_B_out
a10695,A_in_A_out_B_in_B_out
a30946,A_out_B_in_B_out
a19873,A_in_A_out_B_in_B_out
a22526,B_in_B_out
a00933,A_out_B_in_B_out
a27934,A_in_B_in_B_out
a00581,B_in
a30471,B_in_B_out
a20589,B_in
a21147,B_in
a11857,B_in_B_out
a30796,A_out_B_in_B_out
a18651,A_in_B_in_B_out
a21353,B_in_B_out
a13508,A_in_A_out_B_in_B_out
a24193,B_in_B_out
a23959,A_in_A_out_B_in_B_out
a07587,A_in_B_in_B_out
a23102,B_in_B_out
a27370,B_in_B_out
a26870,B_in_B_out
a02133,B_in
a09784,A_in_B_in_B_out
a14914,A_in_B_in_B_out
a01434,A_in_B_in_B_out
a26286,A_in_B_in_B_out
a02289,B_in_B_out
a18448,B_in_B_out
a21645,A_in_B_in_B_out
a18249,A_in_B_in_B_out
a22615,A_out_B_in_B_out
a00911,A_in_A_out_B_in_B_out
a14650,A_in_B_in_B_out
a13252,B_in_B_out
a08444,B_in_B_out
a06157,A_in_A_out_B_in_B_out
a12525,B_in_B_out
a30686,B_in_B_out
a31403,B_in_B_out
a03859,A_out_B_in_B_out
a14258,A_in_A_out_B_in_B_out
a07216,A_out_B_in_B_out
