account,behavior_category
a08896,medium_activity_unidirectional
a04923,medium_activity_bidirectional
a28739,inactive
a20667,low_activity
a20508,inactive
a18499,low_activity
a10173,inactive
a25246,inactive
a01121,inactive
a16305,inactive
a09849,inactive
a30128,medium_activity_bidirectional
a19642,medium_activity_bidirectional
a24634,inactive
a19209,inactive
a30685,inactive
a07964,inactive
a03028,low_activity
a22249,inactive
a08769,inactive
a00183,inactive
a16433,inactive
a07178,inactive
a12116,inactive
a10832,medium_activity_bidirectional
a26184,inactive
a18297,inactive
a25813,low_activity
a06518,inactive
a17795,low_activity
a09480,medium_activity_bidirectional
a24559,inactive
a03359,inactive
a24190,low_activity
a28689,inactive
a25147,inactive
a16810,medium_activity_unidirectional
a09035,inactive
a11389,low_activity
a21024,inactive
a02431,inactive
a03325,inactive
a17333,low_activity
a30619,low_activity
a18572,inactive
a11149,medium_activity_bidirectional
a05909,inactive
a09362,medium_activity_unidirectional
a07207,low_activity
a05156,low_activity
a14935,inactive
a07199,inactive
a24254,inactive
a02501,inactive
a06594,inactive
a10844,inactive
a11339,inactive
a30627,inactive
a26017,low_activity
a22608,inactive
a15655,inactive
a12432,inactive
a12969,inactive
a08698,inactive
a15433,inactive
a00158,inactive
a21745,medium_activity_unidirectional
a22327,inactive
a25026,medium_activity_unidirectional
a03893,inactive
a12749,low_activity
a25060,medium_activity_unidirectional
a03249,inactive
a11637,inactive
a27086,low_activity
a21870,medium_activity_unidirectional
a18913,inactive
a06371,inactive
a08224,low_activity
a25862,inactive
a04813,low_activity
a30670,low_activity
a22636,inactive
a07615,low_activity
a09454,inactive
a09550,inactive
a01206,low_activity
a11093,low_activity
a29120,inactive
a06694,low_activity
a30753,inactive
a08782,inactive
a07554,medium_activity_bidirectional
a03168,inactive
a06969,low_activity
a00548,inactive
a22098,low_activity
a01407,medium_activity_unidirectional
a19254,inactive
a12774,medium_activity_unidirectional
a22428,inactive
a23479,medium_activity_unidirectional
a02114,inactive
a23227,inactive
a07653,inactive
a28415,inactive
a28823,medium_activity_bidirectional
a00481,medium_activity_bidirectional
a09302,low_activity
a23529,inactive
a26487,inactive
a17572,inactive
a08990,medium_activity_bidirectional
a28785,inactive
a14955,medium_activity_unidirectional
a07407,low_activity
a12674,inactive
a29931,low_activity
a28685,medium_activity_bidirectional
a17622,medium_activity_bidirectional
a29595,inactive
a08700,medium_activity_unidirectional
a11208,medium_activity_unidirectional
a31337,low_activity
a25735,inactive
a23498,low_activity
a27060,inactive
a10484,low_activity
a04471,low_activity
a05904,low_activity
a21722,inactive
a19256,inactive
a14039,low_activity
a06210,inactive
a00832,inactive
a24380,low_activity
a31256,inactive
a05726,inactive
a13356,inactive
a05773,inactive
a23810,inactive
a09728,low_activity
a19242,inactive
a04492,inactive
a12622,inactive
a15865,inactive
a17176,inactive
a14982,inactive
a05678,low_activity
a15153,inactive
a03962,inactive
a07374,inactive
a13246,inactive
a02916,inactive
a19517,medium_activity_unidirectional
a29262,inactive
a19148,low_activity
a05420,medium_activity_bidirectional
a29727,low_activity
a13249,medium_activity_unidirectional
a17310,inactive
a06893,inactive
a16083,inactive
a20133,inactive
a17772,medium_activity_unidirectional
a21862,low_activity
a06846,inactive
a27504,medium_activity_bidirectional
a01033,low_activity
a21821,medium_activity_bidirectional
a14331,inactive
a05890,medium_activity_bidirectional
a26873,inactive
a08963,inactive
a24207,low_activity
a02232,inactive
a14938,low_activity
a11122,low_activity
a07599,medium_activity_unidirectional
a18785,inactive
a28942,low_activity
a00607,inactive
a29890,inactive
a21589,inactive
a28976,inactive
a10270,inactive
a28752,inactive
a04561,inactive
a22265,inactive
a20756,inactive
a06301,low_activity
a13882,inactive
a08564,low_activity
a12136,medium_activity_unidirectional
a08319,low_activity
a13887,low_activity
a24953,inactive
a24893,inactive
a01099,low_activity
a18264,inactive
a03128,medium_activity_unidirectional
a19674,low_activity
a02336,inactive
a21934,low_activity
a17699,inactive
a16693,inactive
a29110,inactive
a06032,low_activity
a16282,inactive
a27874,inactive
a13596,low_activity
a02277,medium_activity_unidirectional
a13231,low_activity
a30413,inactive
a00621,inactive
a03424,low_activity
a12433,low_activity
a24512,low_activity
a22625,low_activity
a01907,inactive
a05877,inactive
a12263,inactive
a18102,inactive
a29074,inactive
a12683,low_activity
a24228,inactive
a19077,low_activity
a11110,medium_activity_bidirectional
a14071,inactive
a01891,medium_activity_bidirectional
a11116,inactive
a13875,medium_activity_bidirectional
a00486,inactive
a08959,medium_activity_bidirectional
a17741,low_activity
a29514,inactive
a21157,inactive
a20259,inactive
a27236,inactive
a25021,inactive
a31065,inactive
a00625,low_activity
a07541,low_activity
a29380,inactive
a30430,inactive
a06817,low_activity
a17336,medium_activity_bidirectional
a29018,medium_activity_unidirectional
a08850,low_activity
a15923,medium_activity_unidirectional
a17763,inactive
a11484,low_activity
a07639,low_activity
a31312,medium_activity_bidirectional
a16307,low_activity
a16398,inactive
a10679,inactive
a19661,inactive
a12323,inactive
a18046,inactive
a12966,inactive
a26139,inactive
a06363,inactive
a01316,low_activity
a16723,inactive
a17666,low_activity
a17252,inactive
a11933,inactive
a23559,low_activity
a23908,low_activity
a26314,inactive
a13675,medium_activity_unidirectional
a09442,inactive
a10757,low_activity
a00981,inactive
a02842,inactive
a02351,medium_activity_unidirectional
a15630,inactive
a14800,inactive
a20931,low_activity
a30119,low_activity
a04863,inactive
a22483,inactive
a01208,medium_activity_bidirectional
a20269,inactive
a30913,inactive
a14025,medium_activity_unidirectional
a22180,low_activity
a20600,low_activity
a10486,inactive
a23995,low_activity
a02591,inactive
a08061,medium_activity_unidirectional
a17950,medium_activity_bidirectional
a25802,inactive
a06283,medium_activity_bidirectional
a18628,inactive
a15676,medium_activity_unidirectional
a23200,inactive
a16189,low_activity
a13715,inactive
a16224,low_activity
a08878,inactive
a02693,low_activity
a18661,inactive
a27432,medium_activity_bidirectional
a24951,inactive
a23091,medium_activity_bidirectional
a21462,inactive
a06712,inactive
a13078,inactive
a05891,low_activity
a14395,inactive
a20794,inactive
a14931,inactive
a30752,medium_activity_bidirectional
a21316,low_activity
a20263,inactive
a26523,low_activity
a15729,inactive
a22132,medium_activity_unidirectional
a21074,inactive
a19198,low_activity
a30836,medium_activity_bidirectional
a21332,medium_activity_bidirectional
a03051,inactive
a22233,low_activity
a31309,medium_activity_bidirectional
a25440,medium_activity_unidirectional
a29450,low_activity
a27362,medium_activity_unidirectional
a18524,medium_activity_unidirectional
a04738,low_activity
a04847,medium_activity_bidirectional
a18574,inactive
a25457,inactive
a27966,low_activity
a22692,low_activity
a23739,inactive
a19183,inactive
a01457,inactive
a02683,low_activity
a08087,inactive
a27538,low_activity
a10770,inactive
a27770,inactive
a19593,medium_activity_unidirectional
a12977,inactive
a06396,inactive
a22794,inactive
a29550,medium_activity_bidirectional
a21706,medium_activity_bidirectional
a15361,inactive
a13128,low_activity
a05052,low_activity
a11297,inactive
a18175,inactive
a22444,medium_activity_bidirectional
a21426,inactive
a14337,medium_activity_unidirectional
a15233,medium_activity_bidirectional
a30590,inactive
a13808,inactive
a29375,inactive
a01685,low_activity
a01793,inactive
a04996,medium_activity_bidirectional
a01275,inactive
a24204,inactive
a00913,low_activity
a08461,low_activity
a02323,medium_activity_bidirectional
a15328,medium_activity_bidirectional
a11118,inactive
a28792,inactive
a17294,low_activity
a04049,inactive
a26253,inactive
a27687,low_activity
a23579,inactive
a07594,low_activity
a21526,low_activity
a13595,inactive
a05573,inactive
a11449,inactive
a28581,medium_activity_unidirectional
a18626,low_activity
a17779,inactive
a17084,low_activity
a03983,inactive
a30904,medium_activity_unidirectional
a26779,inactive
a30261,medium_activity_unidirectional
a27851,medium_activity_unidirectional
a13423,low_activity
a24477,medium_activity_unidirectional
a27455,low_activity
a09297,inactive
a26926,low_activity
a05423,medium_activity_bidirectional
a07827,medium_activity_unidirectional
a01612,low_activity
a25364,low_activity
a19234,inactive
a23223,low_activity
a30332,inactive
a17490,medium_activity_unidirectional
a19087,inactive
a05666,inactive
a00678,low_activity
a03290,inactive
a22403,medium_activity_unidirectional
a31178,medium_activity_unidirectional
a15053,inactive
a05193,medium_activity_bidirectional
a16257,low_activity
a10339,medium_activity_unidirectional
a24970,inactive
a11711,inactive
a22036,inactive
a14221,low_activity
a12375,inactive
a16820,inactive
a00868,inactive
a15003,inactive
a07226,inactive
a07236,low_activity
a23262,medium_activity_unidirectional
a30605,medium_activity_bidirectional
a03794,inactive
a00603,low_activity
a02789,inactive
a21833,medium_activity_bidirectional
a02132,low_activity
a14754,low_activity
a30709,inactive
a30905,inactive
a27403,low_activity
a15441,inactive
a01747,inactive
a23071,inactive
a23268,medium_activity_unidirectional
a18083,low_activity
a02606,medium_activity_bidirectional
a04769,low_activity
a29858,low_activity
a18484,low_activity
a30291,inactive
a09384,low_activity
a00610,inactive
a23943,low_activity
a25725,inactive
a07937,low_activity
a22333,medium_activity_bidirectional
a10040,low_activity
a25446,medium_activity_unidirectional
a09852,low_activity
a24747,inactive
a15309,inactive
a17043,inactive
a03117,medium_activity_unidirectional
a05294,inactive
a10638,inactive
a09675,low_activity
a17928,medium_activity_unidirectional
a16306,low_activity
a07603,inactive
a02010,inactive
a07844,low_activity
a31134,inactive
a07276,inactive
a16523,inactive
a13732,medium_activity_bidirectional
a22402,medium_activity_bidirectional
a24340,inactive
a14694,inactive
a00191,inactive
a28224,low_activity
a13204,low_activity
a03415,low_activity
a03040,medium_activity_bidirectional
a25770,medium_activity_unidirectional
a30669,low_activity
a28843,inactive
a03227,inactive
a15494,inactive
a14925,low_activity
a28116,inactive
a00671,low_activity
a23442,inactive
a26386,low_activity
a11779,inactive
a00300,medium_activity_unidirectional
a23852,low_activity
a29401,medium_activity_bidirectional
a15207,low_activity
a14079,low_activity
a12411,inactive
a18507,inactive
a24186,medium_activity_bidirectional
a22000,medium_activity_bidirectional
a06602,inactive
a27787,inactive
a15848,inactive
a04334,inactive
a14069,inactive
a25593,inactive
a31383,inactive
a26537,low_activity
a20394,low_activity
a18811,medium_activity_unidirectional
a17976,low_activity
a15139,low_activity
a24728,low_activity
a29183,low_activity
a01773,inactive
a09566,inactive
a13762,inactive
a09935,low_activity
a17471,inactive
a24978,medium_activity_unidirectional
a11598,inactive
a14118,inactive
a00769,medium_activity_unidirectional
a28320,inactive
a29216,low_activity
a09983,inactive
a25444,medium_activity_bidirectional
a15706,inactive
a13205,low_activity
a23108,low_activity
a15073,inactive
a30860,medium_activity_bidirectional
a30736,low_activity
a00531,low_activity
a08905,low_activity
a17538,medium_activity_unidirectional
a13502,inactive
a22832,low_activity
a03455,low_activity
a23306,inactive
a08002,medium_activity_unidirectional
a31494,inactive
a00865,inactive
a05218,inactive
a16547,inactive
a02025,inactive
a30770,medium_activity_unidirectional
a14104,low_activity
a05339,low_activity
a20554,medium_activity_bidirectional
a05225,inactive
a30776,inactive
a01216,low_activity
a05011,medium_activity_bidirectional
a09167,low_activity
a05966,medium_activity_unidirectional
a11866,inactive
a20662,medium_activity_unidirectional
a21025,medium_activity_unidirectional
a13553,low_activity
a13783,inactive
a05005,low_activity
a26944,medium_activity_bidirectional
a28722,medium_activity_unidirectional
a07261,medium_activity_bidirectional
a14409,inactive
a23493,inactive
a28635,inactive
a22582,inactive
a22348,inactive
a20161,inactive
a14715,medium_activity_bidirectional
a02367,inactive
a09386,inactive
a03789,low_activity
a22240,low_activity
a00367,medium_activity_bidirectional
a17560,low_activity
a24467,inactive
a16367,inactive
a26797,inactive
a25322,low_activity
a27437,inactive
a28120,medium_activity_unidirectional
a28706,inactive
a04861,inactive
a16781,low_activity
a14520,inactive
a29558,medium_activity_bidirectional
a14314,low_activity
a27497,inactive
a12988,inactive
a01218,inactive
a21817,inactive
a19301,inactive
a05867,inactive
a22741,medium_activity_unidirectional
a25319,medium_activity_bidirectional
a15135,inactive
a05969,low_activity
a24713,inactive
a01935,inactive
a05306,inactive
a08229,medium_activity_bidirectional
a05433,inactive
a17092,medium_activity_bidirectional
a23746,inactive
a24992,low_activity
a30329,inactive
a16964,inactive
a28923,medium_activity_unidirectional
a01501,inactive
a10480,medium_activity_bidirectional
a19522,medium_activity_unidirectional
a06269,inactive
a12945,medium_activity_bidirectional
a01267,low_activity
a12673,medium_activity_bidirectional
a11873,low_activity
a31054,inactive
a29135,inactive
a13430,medium_activity_bidirectional
a00215,inactive
a25659,inactive
a30304,low_activity
a14548,inactive
a30783,inactive
a08157,inactive
a17255,medium_activity_unidirectional
a11994,low_activity
a13283,low_activity
a12025,low_activity
a14799,inactive
a28047,inactive
a04379,low_activity
a13438,low_activity
a22024,inactive
a23508,low_activity
a09708,low_activity
a28054,inactive
a30889,medium_activity_unidirectional
a15808,inactive
a14756,inactive
a21652,inactive
a24861,medium_activity_bidirectional
a26383,low_activity
a01290,inactive
a08759,medium_activity_unidirectional
a14699,inactive
a16316,low_activity
a15814,inactive
a30500,low_activity
a30602,low_activity
a23681,low_activity
a13477,inactive
a18596,low_activity
a27575,inactive
a15934,low_activity
a00969,inactive
a11835,inactive
a10363,medium_activity_bidirectional
a10123,inactive
a22458,inactive
a03622,inactive
a21300,low_activity
a14387,low_activity
a09087,inactive
a22977,medium_activity_unidirectional
a27264,low_activity
a30249,inactive
a05930,inactive
a30161,inactive
a31074,inactive
a30959,inactive
a17239,medium_activity_bidirectional
a01767,inactive
a15751,inactive
a04797,low_activity
a17542,inactive
a00810,low_activity
a17695,inactive
a26328,inactive
a07327,low_activity
a30668,low_activity
a02488,inactive
a22637,medium_activity_unidirectional
a05002,low_activity
a12241,low_activity
a11070,inactive
a27606,inactive
a04707,medium_activity_bidirectional
a17218,medium_activity_bidirectional
a02722,inactive
a24429,inactive
a11232,inactive
a15147,low_activity
a00931,medium_activity_unidirectional
a12429,medium_activity_unidirectional
a03162,medium_activity_bidirectional
a17798,inactive
a00891,medium_activity_unidirectional
a29789,inactive
a02985,medium_activity_unidirectional
a21258,low_activity
a13561,inactive
a10695,medium_activity_bidirectional
a30946,medium_activity_unidirectional
a19873,medium_activity_bidirectional
a22526,inactive
a00933,medium_activity_unidirectional
a27934,medium_activity_unidirectional
a00581,inactive
a30471,inactive
a20589,inactive
a21147,inactive
a11857,inactive
a30796,low_activity
a18651,low_activity
a21353,inactive
a13508,medium_activity_bidirectional
a24193,inactive
a23959,medium_activity_bidirectional
a07587,low_activity
a23102,inactive
a27370,inactive
a26870,inactive
a02133,inactive
a09784,medium_activity_unidirectional
a14914,low_activity
a01434,low_activity
a26286,inactive
a02289,inactive
a18448,inactive
a21645,low_activity
a18249,low_activity
a22615,medium_activity_unidirectional
a00911,medium_activity_unidirectional
a14650,medium_activity_unidirectional
a13252,inactive
a08444,inactive
a06157,medium_activity_bidirectional
a12525,inactive
a30686,inactive
a31403,inactive
a03859,medium_activity_unidirectional
a14258,medium_activity_bidirectional
a07216,medium_activity_unidirectional
a02871,medium_activity_unidirectional
a22473,medium_activity_unidirectional
a11691,inactive
a11257,inactive
a29053,medium_activity_unidirectional
a24545,low_activity
a09378,inactive
a20089,low_activity
a04396,medium_activity_unidirectional
a11483,medium_activity_bidirectional
a29485,low_activity
a25134,low_activity
a23614,low_activity
a01240,medium_activity_bidirectional
a10587,medium_activity_bidirectional
a21902,inactive
a04905,medium_activity_unidirectional
a00179,medium_activity_bidirectional
a11247,inactive
a02075,inactive
a08421,low_activity
a25970,inactive
a00596,medium_activity_bidirectional
a30276,low_activity
a09950,inactive
a27093,low_activity
a28599,inactive
a21975,inactive
a22308,low_activity
a27152,inactive
a02331,medium_activity_bidirectional
a19387,inactive
a14569,medium_activity_unidirectional
a24002,inactive
a30297,inactive
a28526,inactive
a06705,inactive
a11012,medium_activity_unidirectional
a15193,medium_activity_unidirectional
a30455,medium_activity_bidirectional
a25757,inactive
a14781,inactive
a25806,inactive
a07400,low_activity
a30924,inactive
a19830,low_activity
a06087,inactive
a30720,inactive
a07698,medium_activity_unidirectional
a24267,low_activity
a26758,medium_activity_unidirectional
a26814,medium_activity_unidirectional
a12405,inactive
a13562,inactive
a24745,medium_activity_unidirectional
a16697,medium_activity_unidirectional
a29361,low_activity
a02587,low_activity
a07618,inactive
a18445,medium_activity_unidirectional
a02341,inactive
a24770,low_activity
a14249,low_activity
a06501,inactive
a18133,inactive
a21558,medium_activity_bidirectional
a19723,low_activity
a17523,inactive
a22273,inactive
a23464,low_activity
a19946,low_activity
a22431,medium_activity_unidirectional
a06728,inactive
a25708,low_activity
a05215,medium_activity_bidirectional
a05605,low_activity
a12209,inactive
a06848,inactive
a25937,inactive
a26528,low_activity
a05740,medium_activity_unidirectional
a03438,medium_activity_unidirectional
a27351,low_activity
a17275,inactive
a12972,medium_activity_bidirectional
a01748,medium_activity_unidirectional
a29241,low_activity
a01737,medium_activity_bidirectional
a09204,inactive
a05851,inactive
a01899,low_activity
a27252,medium_activity_unidirectional
a09542,inactive
a11578,inactive
a09220,inactive
a05461,low_activity
a22039,inactive
a10379,inactive
a03518,inactive
a23842,low_activity
a12785,low_activity
a05790,inactive
a21373,low_activity
a07225,medium_activity_unidirectional
a04536,low_activity
a15414,inactive
a24374,low_activity
a20447,inactive
a18620,inactive
a08141,inactive
a15832,inactive
a25090,inactive
a30072,low_activity
a15710,inactive
a30286,low_activity
a01919,low_activity
a29853,inactive
a02843,inactive
a12107,low_activity
a05511,low_activity
a03443,low_activity
a10356,medium_activity_bidirectional
a00552,medium_activity_unidirectional
a07762,medium_activity_unidirectional
a10521,low_activity
a06545,medium_activity_unidirectional
a12513,medium_activity_unidirectional
a07316,inactive
a26499,inactive
a20801,inactive
a30535,inactive
a30112,inactive
a04909,inactive
a13402,inactive
a10874,low_activity
a15667,low_activity
a28410,inactive
a08378,inactive
a09855,inactive
a00571,low_activity
a25707,inactive
a22811,inactive
a06436,inactive
a19085,inactive
a07270,low_activity
a01322,inactive
a22767,medium_activity_unidirectional
a21803,inactive
a06743,low_activity
a04296,inactive
a11736,low_activity
a05139,medium_activity_unidirectional
a26485,inactive
a28153,medium_activity_unidirectional
a23072,inactive
a28225,inactive
a25600,inactive
a04853,low_activity
a13077,inactive
a15399,inactive
a27035,inactive
a18955,low_activity
a26062,inactive
a17350,inactive
a10905,inactive
a24036,inactive
a08410,inactive
a10752,low_activity
a18361,medium_activity_unidirectional
a07736,medium_activity_unidirectional
a03931,low_activity
a14998,low_activity
a24045,medium_activity_unidirectional
a04646,inactive
a22312,low_activity
a23626,inactive
a15410,inactive
a31421,low_activity
a19154,low_activity
a21459,low_activity
a22102,inactive
a11359,inactive
a29082,inactive
a06702,low_activity
a21555,inactive
a05195,inactive
a03166,inactive
a11355,low_activity
a23459,low_activity
a13504,low_activity
a29516,medium_activity_unidirectional
a29310,low_activity
a21677,low_activity
a18641,medium_activity_bidirectional
a03378,low_activity
a10450,inactive
a29779,medium_activity_unidirectional
a00528,inactive
a22901,low_activity
a18794,inactive
a08701,inactive
a18685,inactive
a08753,inactive
a00817,inactive
a29807,low_activity
a02562,medium_activity_bidirectional
a00859,inactive
a25758,inactive
a07553,low_activity
a29109,low_activity
a12768,low_activity
a27310,low_activity
a13063,inactive
a10429,low_activity
a27474,low_activity
a12653,low_activity
a14504,inactive
a07602,low_activity
a10335,inactive
a10864,inactive
a08791,inactive
a18692,low_activity
a06738,low_activity
a13437,low_activity
a19905,inactive
a22389,inactive
a03543,low_activity
a16172,medium_activity_unidirectional
a24498,inactive
a23916,inactive
a28272,inactive
a08773,inactive
a11301,low_activity
a14895,inactive
a05702,low_activity
a03835,low_activity
a01776,inactive
a30441,low_activity
a14459,inactive
a06103,inactive
a15733,medium_activity_unidirectional
a06666,inactive
a08708,inactive
a28518,low_activity
a00760,medium_activity_bidirectional
a24428,inactive
a29253,low_activity
a29651,medium_activity_unidirectional
a31122,inactive
a18534,medium_activity_unidirectional
a27379,low_activity
a27406,low_activity
a10165,inactive
a02170,low_activity
a10737,medium_activity_bidirectional
a24744,medium_activity_unidirectional
a30057,medium_activity_bidirectional
a04655,inactive
a28805,inactive
a27295,inactive
a23288,inactive
a14133,medium_activity_unidirectional
a19186,low_activity
a21697,medium_activity_bidirectional
a13848,inactive
a09910,inactive
a10128,low_activity
a27253,inactive
a22193,low_activity
a04297,low_activity
a13514,inactive
a27343,medium_activity_unidirectional
a24722,inactive
a15731,medium_activity_bidirectional
a20532,inactive
a24791,inactive
a18672,medium_activity_unidirectional
a23252,inactive
a29061,inactive
a25687,low_activity
a00355,inactive
a26991,medium_activity_bidirectional
a21694,medium_activity_bidirectional
a31003,inactive
a23553,inactive
a05864,low_activity
a02127,inactive
a14289,low_activity
a31087,medium_activity_unidirectional
a19110,inactive
a00615,medium_activity_bidirectional
a30018,low_activity
a16068,inactive
a30085,inactive
a24826,low_activity
a04237,medium_activity_bidirectional
a29735,inactive
a00058,low_activity
a17285,inactive
a27422,inactive
a14730,medium_activity_unidirectional
a18592,low_activity
a06590,inactive
a12780,inactive
a30023,inactive
a30493,low_activity
a20683,low_activity
a18415,medium_activity_unidirectional
a24674,medium_activity_unidirectional
a09320,low_activity
a16717,medium_activity_bidirectional
a09298,low_activity
a05734,inactive
a06635,medium_activity_bidirectional
a21747,low_activity
a30371,inactive
a00412,inactive
a21865,low_activity
a10004,inactive
a20768,low_activity
a04041,medium_activity_unidirectional
a04937,inactive
a24481,low_activity
a17769,inactive
a14492,medium_activity_bidirectional
a00386,low_activity
a18845,inactive
a27725,medium_activity_bidirectional
a13141,low_activity
a07817,inactive
a23164,inactive
a30339,medium_activity_bidirectional
a07057,medium_activity_unidirectional
a10930,inactive
a01252,medium_activity_unidirectional
a24864,inactive
a28106,inactive
a09555,low_activity
a29954,medium_activity_unidirectional
a24341,medium_activity_unidirectional
a23417,medium_activity_unidirectional
a09058,inactive
a26980,inactive
a21197,medium_activity_unidirectional
a31072,low_activity
a16990,medium_activity_unidirectional
a06066,low_activity
a13368,low_activity
a05281,inactive
a20468,inactive
a11717,inactive
a08818,inactive
a29737,low_activity
a28005,inactive
a16184,inactive
a16542,inactive
a28018,medium_activity_unidirectional
a20308,low_activity
a03918,low_activity
a00138,inactive
a19500,inactive
a14388,medium_activity_unidirectional
a08835,medium_activity_bidirectional
a14349,inactive
a04633,inactive
a11505,low_activity
a29734,inactive
a13606,low_activity
a10344,low_activity
a29041,medium_activity_unidirectional
a26030,medium_activity_bidirectional
a12261,inactive
a14478,inactive
a17836,low_activity
a17023,inactive
a00609,medium_activity_unidirectional
a16957,inactive
a27433,low_activity
a14320,inactive
a25464,inactive
a30106,inactive
a22725,inactive
a23443,low_activity
a21808,inactive
a30994,medium_activity_unidirectional
a01195,low_activity
a11863,medium_activity_bidirectional
a20678,inactive
a24769,medium_activity_unidirectional
a27703,inactive
a05396,low_activity
a27094,low_activity
a09322,inactive
a24456,medium_activity_bidirectional
a28745,inactive
a00320,medium_activity_bidirectional
a05781,inactive
a21952,low_activity
a02034,medium_activity_bidirectional
a26901,low_activity
a12131,low_activity
a19811,low_activity
a15997,inactive
a23699,inactive
a07219,inactive
a06516,medium_activity_unidirectional
a11498,inactive
a23059,medium_activity_unidirectional
a13679,low_activity
a14497,inactive
a02905,inactive
a29560,inactive
a22430,inactive
a04858,inactive
a03236,low_activity
a28695,inactive
a26851,low_activity
a21594,inactive
